"Dataset_ID","R_Time","D1_node","Query_ID","SOLR_Index_Type","Run_ID","Ontology_Set_ID"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/394/13",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/394/16",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/394/15",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.394.7",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.394.4",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.394.2",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.394.16",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.394.5",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.394.9",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.394.12",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.394.13",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.394.8",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.394.11",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.394.15",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.394.14",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.394.3",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.394.6",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.424.3",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.420.7",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.416.14",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.416.13",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.416.5",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.420.14",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.420.12",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.420.9",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.416.11",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.424.14",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.416.3",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.424.11",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.424.2",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.416.2",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.416.4",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.416.7",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.424.12",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.420.4",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.420.6",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.420.10",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.420.2",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.416.12",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.424.4",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.420.11",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.424.5",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.416.10",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.424.10",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"doi:10.6073/AA/knb-lter-bnz.424.6",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
"knb-lter-bnz.416.9",2015-10-12,"CN-Sanbox2","q1_1","full_text",2015-10-12 14:27:28,"None"
