"Test_Corpus_ID" "Query_ID" "SOLR_Index_Type" "Run_ID" "Ontology_Set_ID" "Precision" "Recall"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q6" "esor_cosine" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q6" "manual_annot" "2016-10-05 13:57:47" "None" "100" "57.1428571428571"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q6" "esor_annot" "2016-10-05 13:57:47" "None" "100" "57.1428571428571"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q6" "bioportal_annot" "2016-10-05 13:57:47" "None" "100" "57.1428571428571"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q6" "metacat_filtered" "2016-10-05 13:57:47" "N/A" "0" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q6" "metacat_ui" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q6" "full_text" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q6" "nat_lang" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q5" "esor_cosine" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q5" "manual_annot" "2016-10-05 13:57:47" "None" "88.8888888888889" "100"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q5" "esor_annot" "2016-10-05 13:57:47" "None" "42.1052631578947" "100"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q5" "bioportal_annot" "2016-10-05 13:57:47" "None" "80" "50"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q5" "metacat_filtered" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q5" "metacat_ui" "2016-10-05 13:57:47" "None" "100" "62.5"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q5" "full_text" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q5" "nat_lang" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q4" "esor_cosine" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q4" "manual_annot" "2016-10-05 13:57:47" "None" "100" "100"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q4" "esor_annot" "2016-10-05 13:57:47" "N/A" "0" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q4" "bioportal_annot" "2016-10-05 13:57:47" "N/A" "NaN" "0"
"~/dataone/gitcheckout/semantic-query/lib/ground_truth/test_corpus_f_groundtruth_carbon_flux_queries.csv" "q4" "metacat_filtered" "2016-10-05 13:57:47" "None" "0" "0"
