Query_ID,SOLR_Index_Type,Query_Frag,Ontology_Set_ID
q4,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000534" AND formatId:eml*,None
q4,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000534" AND formatId:eml*,None
q4,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000534" AND formatId:eml*,None
q5,nat_lang,concentration of dissolved carbon dioxide carbonate or bicarbonate in the water of an aquatic system AND formatId:eml*,None
q5,metacat_ui,carbon dioxide carbonate or bicarbonate concentration AND formatId:eml*,None
q5,metacat_filtered,attribute:"carbon dioxide concentration" OR attribute:"carbonate concentration" OR attribute:"bicarbonate concentration" AND formatId:eml*,None
q5,full_text,attribute:concentration AND (attribute:"*carbonate" or attribute:"C02" or attribute:"carbon dioxide") AND (abstract:aquatic OR title:aquatic) AND formatId:eml*,None
q5,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000539" AND formatId:eml*,None
q5,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000539" AND formatId:eml*,None
q5,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000539" AND formatId:eml*,None
q6,nat_lang,ecosystem carbon flux in dimensions of (amount or mass) of (carbon dioxide or carbon) per area per time AND formatId:eml*,None
q6,metacat_ui,"carbon dioxide" "flux tower" AND formatId:eml*,None
q6,metacat_filtered,flux tower AND attribute:"carbon dioxide" AND formatId:eml*,None
q6,full_text,(attribute:"C02 flux" or attribute:"carbon dioxide flux") AND (abstract:"flux tower" OR title:"flux tower") AND formatId:eml*,None
q6,bioportal_annot,sem_annotation_bioportal_sm:"http://purl.dataone.org/odo/ECSO_00000014" AND formatId:eml*,None
q6,esor_annot,sem_annotation_esor_sm:"http://purl.dataone.org/odo/ECSO_00000014" AND formatId:eml*,None
q6,manual_annot,sem_annotation:"http://purl.dataone.org/odo/ECSO_00000014" AND formatId:eml*,None
q7,nat_lang,carbon dioxide flux in an enrichment experiment in dimensions of (amount or mass) of carbon per (area or volume) per time AND formatId:eml*,None
q7,metacat_ui,("C02 flux" OR "carbon dioxide flux") AND "enrichment experiment" AND formatId:eml*,None
q7,metacat_filtered,experiment OR treatment AND ("C02 flux" OR "carbon dioxide flux") AND formatId:eml*,None
q7,full_text,(attribute:"C02 flux" or attribute:"carbon dioxide flux") AND ("enrichment experiment" OR "treatment") AND formatId:eml*,None
